height,brake-percentage
0.000000,0.000000
2.836600,0.000000
13.684000,0.000000
28.945000,0.000000
64.123001,0.000000
90.344002,0.000000
147.470001,0.000000
192.160004,0.000000
235.500000,0.000000
287.980011,0.055885
346.600006,0.177317
407.000000,0.315654
468.470001,0.467640
530.299988,0.629126
591.780029,0.795455
652.229980,0.962163
711.150024,1.125766
768.229980,1.283951
823.340027,1.435306
876.419983,1.579035
927.500000,1.715400
976.679993,1.844646
1024.099976,1.967393
1069.800049,2.084180
1113.900024,2.195544
1156.599976,2.301998
1197.800049,2.403938
1237.699951,2.501784
1276.400024,2.595872
1313.800049,2.686542
1350.099976,2.774082
1385.300049,2.858765
1419.500000,2.940878
1452.599976,3.020619
1484.800049,3.098237
1516.099976,3.173944
1546.500000,3.247947
1576.000000,3.320431
1604.800049,3.391613
1632.699951,3.461658
1659.800049,3.530752
1686.199951,3.599090
1711.900024,3.666851
1736.900024,3.734236
1761.199951,3.801435
1784.900024,3.868670
1807.900024,3.936137
1830.300049,4.004069
1852.099976,4.072715
1873.300049,4.142350
1893.900024,4.213257
1914.000000,4.285794
1933.500000,4.360307
1952.500000,4.437269
1971.000000,4.517186
1988.900024,4.600594
2006.400024,4.688276
2023.300049,4.780985
2039.800049,4.879882
2055.800049,4.986271
2071.399902,5.102015
2086.399902,5.229229
2101.100098,5.371384
2115.300049,5.532888
2129.000000,5.720560
2142.399902,5.946082
2155.300049,6.229066
2167.800049,6.611336
2179.899902,7.205505
2191.600098,8.580336
2202.899902,100.000000
2213.800049,100.000000
2224.300049,100.000000
2234.399902,100.000000
2244.199951,100.000000
2253.600098,100.000000
2262.600098,100.000000
2271.199951,100.000000
2279.500000,100.000000
2287.399902,100.000000
2295.000000,100.000000
2302.199951,100.000000
2309.000000,100.000000
2315.500000,100.000000
2321.699951,100.000000
2327.500000,100.000000
2333.000000,100.000000
2338.100098,100.000000
2342.899902,100.000000
2347.300049,100.000000
2351.500000,100.000000
2355.300049,100.000000
2358.699951,100.000000
2361.899902,100.000000
2364.699951,100.000000
2367.199951,100.000000
2369.399902,100.000000
2371.199951,100.000000
2372.699951,100.000000
2373.899902,100.000000
